word,decision,source,page,note,hint,sort_order
абажур,approved,pdf_high_confidence,17,,,
авизни,approved,pdf_high_confidence,18,,,
агилан,approved,manual_approved,19,corrected OCR й to Serbian и,,
агилно,approved,manual_approved,19,corrected OCR й to Serbian и,,
адитив,approved,manual_approved,20,corrected OCR й to Serbian и,,
ажуран,approved,pdf_high_confidence,22,,,
азотни,approved,pdf_high_confidence,22,,,
азотов,approved,pdf_medium_approved,22,approved from medium possible additions,,
аикидо,approved,manual_approved,22,manual approval from review list,,
аксиом,approved,pdf_high_confidence,24,,,
аласки,approved,manual_approved,26,corrected OCR й to Serbian и,,
алегро,approved,manual_approved,27,manual approval from review list,,
алемов,approved,pdf_high_confidence,28,,,
аловит,approved,pdf_high_confidence,29,,,
алпски,approved,pdf_high_confidence,29,,,
алтист,approved,manual_approved,29,manual approval from review list,,
аматер,approved,pdf_high_confidence,30,,,
амнион,approved,manual_approved,32,manual approval from review list,,
ампула,approved,manual_approved,32,manual approval from review list,,
амулет,approved,manual_approved,32,manual approval from review list,,
анасон,approved,pdf_high_confidence,34,,,
анилин,approved,manual_approved,35,corrected OCR й to Serbian и,,
анкета,approved,manual_approved,36,manual approval from review list,,
анодни,approved,pdf_high_confidence,36,,,
апетит,approved,pdf_high_confidence,40,,,
аполон,approved,pdf_medium_approved,41,approved from medium possible additions,,
арапче,approved,pdf_high_confidence,43,,,
арњеви,approved,pdf_high_confidence,45,,,
аскеза,approved,pdf_medium_approved,48,approved from medium possible additions,,
атаман,approved,pdf_high_confidence,49,,,
атички,approved,pdf_high_confidence,50,,,
ауреол,approved,pdf_high_confidence,51,,,
афелни,approved,pdf_high_confidence,54,,,
ахнути,approved,pdf_high_confidence,55,,,
ацетат,approved,pdf_high_confidence,55,,,
ацетон,approved,pdf_high_confidence,55,,,
бабаст,approved,pdf_high_confidence,56,,,
бавити,approved,pdf_medium_approved,1082,approved from medium possible additions,,
багрен,approved,pdf_high_confidence,57,,,
бадљав,approved,pdf_high_confidence,57,,,
бадњић,approved,pdf_high_confidence,57,,,
баждар,approved,pdf_high_confidence,57,,,
базало,approved,pdf_medium_approved,58,approved from medium possible additions,,
бакрач,approved,pdf_high_confidence,59,,,
бакрен,approved,pdf_medium_approved,59,approved from medium possible additions,,
бакута,approved,pdf_medium_approved,60,approved from medium possible additions,,
балити,approved,pdf_high_confidence,61,,,
балкан,approved,manual_approved,61,manual approval from review list,,
балсам,approved,manual_approved,61,manual approval from review list,,
балски,approved,pdf_high_confidence,61,,,
бангав,approved,pdf_high_confidence,62,,,
бандит,approved,pdf_high_confidence,62,,,
банити,approved,pdf_medium_approved,62,approved from medium possible additions,,
баница,approved,pdf_medium_approved,62,approved from medium possible additions,,
банкар,approved,pdf_high_confidence,62,,,
банкет,approved,pdf_high_confidence,63,,,
бански,approved,pdf_high_confidence,63,,,
бантам,approved,pdf_medium_approved,63,approved from medium possible additions,,
бањски,approved,pdf_high_confidence,63,,,
бапски,approved,pdf_high_confidence,63,,,
бараба,approved,manual_approved,63,manual approval from review list,,
барбар,approved,pdf_high_confidence,64,,,
барбун,approved,pdf_high_confidence,64,,,
бармен,approved,pdf_medium_approved,64,approved from medium possible additions,,
басати,approved,pdf_high_confidence,65,,,
баскет,approved,pdf_medium_approved,65,approved from medium possible additions,,
бауљав,approved,pdf_high_confidence,66,,,
бацати,approved,pdf_high_confidence,66,,,
